name	type	layer
HSA04066  	Pathway	1
HSA04068  	Pathway	1
HSA04110  	Pathway	1
HSA04310  	Pathway	1
HSA04330  	Pathway	1
HSA04350  	Pathway	1
HSA04520  	Pathway	1
HSA04630  	Pathway	1
HSA04720  	Pathway	1
HSA04916  	Pathway	1
HSA04919  	Pathway	1
HSA04922  	Pathway	1
HSA04935  	Pathway	1
HSA05016  	Pathway	1
HSA05152  	Pathway	1
HSA05161  	Pathway	1
HSA05164  	Pathway	1
HSA05165  	Pathway	1
HSA05166  	Pathway	1
HSA05167  	Pathway	1
HSA05200  	Pathway	1
HSA05203  	Pathway	1
HSA05206  	Pathway	1
HSA05211  	Pathway	1
HSA05215  	Pathway	1
HSA04010  	Pathway	1
HSA04012  	Pathway	1
HSA05014  	Pathway	1
HSA05205  	Pathway	1
HSA01522  	Pathway	1
HSA04915  	Pathway	1
HSA04917  	Pathway	1
HSA04929  	Pathway	1
HSA05224  	Pathway	1
MAP04610  	Pathway	1
MAP04933  	Pathway	1
HSA01040  	Pathway	1
HSA01100  	Pathway	1
HSA01212  	Pathway	1
HSA03030  	Pathway	1
HSA03410  	Pathway	1
HSA03450  	Pathway	1
HSA01521  	Pathway	1
HSA04014  	Pathway	1
HSA04144  	Pathway	1
HSA04550  	Pathway	1
HSA05219  	Pathway	1
HSA05230  	Pathway	1
MAP04010  	Pathway	1
MAP04024  	Pathway	1
MAP04210  	Pathway	1
MAP04380  	Pathway	1
MAP04620  	Pathway	1
MAP04657  	Pathway	1
MAP04658  	Pathway	1
MAP04659  	Pathway	1
MAP04660  	Pathway	1
MAP04662  	Pathway	1
MAP04668  	Pathway	1
MAP04713  	Pathway	1
MAP04725  	Pathway	1
MAP04728  	Pathway	1
MAP04915  	Pathway	1
MAP04917  	Pathway	1
MAP04921  	Pathway	1
MAP04926  	Pathway	1
MAP04928  	Pathway	1
MAP04932  	Pathway	1
MAP04935  	Pathway	1
MAP05031  	Pathway	1
MAP05130  	Pathway	1
MAP05132  	Pathway	1
MAP05133  	Pathway	1
MAP05135  	Pathway	1
MAP05140  	Pathway	1
MAP05142  	Pathway	1
MAP05161  	Pathway	1
MAP05162  	Pathway	1
MAP05166  	Pathway	1
MAP05167  	Pathway	1
MAP05170  	Pathway	1
MAP05171  	Pathway	1
MAP05200  	Pathway	1
MAP05207  	Pathway	1
MAP05208  	Pathway	1
MAP05210  	Pathway	1
MAP05224  	Pathway	1
MAP05231  	Pathway	1
MAP05235  	Pathway	1
MAP05323  	Pathway	1
MAP05417  	Pathway	1
MAP05418  	Pathway	1
HSA04382  	Pathway	1
HSA00010  	Pathway	1
HSA01200  	Pathway	1
HSA01230  	Pathway	1
HSA05130  	Pathway	1
HSA05132  	Pathway	1
HSA05415  	Pathway	1
HSA04724  	Pathway	1
HSA04072  	Pathway	1
HSA04723  	Pathway	1
HSA01524  	Pathway	1
HSA04071  	Pathway	1
HSA04141  	Pathway	1
HSA04530  	Pathway	1
HSA04668  	Pathway	1
HSA04714  	Pathway	1
HSA04722  	Pathway	1
HSA04932  	Pathway	1
HSA04936  	Pathway	1
HSA05017  	Pathway	1
HSA05208  	Pathway	1
HSA05417  	Pathway	1
HSA05418  	Pathway	1
HSA04925  	Pathway	1
HSA04927  	Pathway	1
HSA00230  	Pathway	1
HSA04928  	Pathway	1
HSA05032  	Pathway	1
HSA04217  	Pathway	1
HSA05222  	Pathway	1
HSA05223  	Pathway	1
HSA05226  	Pathway	1
HSA04022  	Pathway	1
HSA04062  	Pathway	1
HSA04150  	Pathway	1
HSA04270  	Pathway	1
HSA04510  	Pathway	1
HSA04517  	Pathway	1
HSA04519  	Pathway	1
HSA04611  	Pathway	1
HSA04625  	Pathway	1
HSA04660  	Pathway	1
HSA04670  	Pathway	1
HSA04921  	Pathway	1
HSA05100  	Pathway	1
HSA05131  	Pathway	1
HSA05133  	Pathway	1
HSA05135  	Pathway	1
HSA05163  	Pathway	1
HSA05210  	Pathway	1
HSA04721  	Pathway	1
HSA00510  	Pathway	1
HSA00514  	Pathway	1
R-HSA-8950505	Pathway	1
R-HSA-9020591	Pathway	1
R-HSA-447115	Pathway	1
R-HSA-8937144	Pathway	1
R-HSA-5389840	Pathway	1
R-HSA-5368286	Pathway	1
R-HSA-9937383	Pathway	1
R-HSA-5419276	Pathway	1
R-HSA-5368287	Pathway	1
R-HSA-211945	Pathway	1
R-HSA-72766	Pathway	1
R-HSA-211859	Pathway	1
R-HSA-392499	Pathway	1
R-HSA-977606	Pathway	1
R-HSA-166658	Pathway	1
R-HSA-198933	Pathway	1
R-HSA-9768919	Pathway	1
R-HSA-9634815	Pathway	1
R-HSA-9931529	Pathway	1
R-HSA-9032845	Pathway	1
R-HSA-9931530	Pathway	1
R-HSA-399956	Pathway	1
R-HSA-9734009	Pathway	1
R-HSA-9006115	Pathway	1
R-HSA-180024	Pathway	1
R-HSA-9031628	Pathway	1
R-HSA-373755	Pathway	1
R-HSA-198725	Pathway	1
R-HSA-73857	Pathway	1
R-HSA-6804756	Pathway	1
R-HSA-9645723	Pathway	1
R-HSA-111885	Pathway	1
R-HSA-9851695	Pathway	1
R-HSA-9841922	Pathway	1
R-HSA-9818564	Pathway	1
R-HSA-9909396	Pathway	1
R-HSA-9917777	Pathway	1
R-HSA-5633007	Pathway	1
R-HSA-983231	Pathway	1
R-HSA-212165	Pathway	1
R-HSA-3700989	Pathway	1
R-HSA-9675108	Pathway	1
R-HSA-9006934	Pathway	1
R-HSA-390648	Pathway	1
R-HSA-2022377	Pathway	1
R-HSA-2980736	Pathway	1
R-HSA-1679131	Pathway	1
R-HSA-9766229	Pathway	1
R-HSA-9764561	Pathway	1
R-HSA-2022090	Pathway	1
R-HSA-1442490	Pathway	1
R-HSA-1474290	Pathway	1
R-HSA-2132295	Pathway	1
R-HSA-1474228	Pathway	1
R-HSA-9764274	Pathway	1
R-HSA-9764265	Pathway	1
R-HSA-168898	Pathway	1
R-HSA-9759476	Pathway	1
R-HSA-418990	Pathway	1
R-HSA-421270	Pathway	1
R-HSA-446728	Pathway	1
R-HSA-1500931	Pathway	1
R-HSA-1474244	Pathway	1
R-HSA-390651	Pathway	1
R-HSA-9818026	Pathway	1
R-HSA-9818035	Pathway	1
R-HSA-3134973	Pathway	1
R-HSA-9818032	Pathway	1
R-HSA-9818028	Pathway	1
R-HSA-9818749	Pathway	1
R-HSA-8951936	Pathway	1
R-HSA-6811555	Pathway	1
R-HSA-9617629	Pathway	1
R-HSA-9818030	Pathway	1
R-HSA-1234158	Pathway	1
R-HSA-9701898	Pathway	1
R-HSA-8866907	Pathway	1
R-HSA-2197563	Pathway	1
R-HSA-8941856	Pathway	1
R-HSA-3371568	Pathway	1
R-HSA-210744	Pathway	1
R-HSA-9614657	Pathway	1
R-HSA-156711	Pathway	1
R-HSA-918233	Pathway	1
R-HSA-6804114	Pathway	1
R-HSA-9735871	Pathway	1
R-HSA-9819196	Pathway	1
R-HSA-6804760	Pathway	1
R-HSA-9818027	Pathway	1
R-HSA-9013695	Pathway	1
R-HSA-5621575	Pathway	1
R-HSA-9933387	Pathway	1
R-HSA-3371571	Pathway	1
R-HSA-9013508	Pathway	1
R-HSA-9839394	Pathway	1
R-HSA-933541	Pathway	1
R-HSA-6804758	Pathway	1
R-HSA-5689901	Pathway	1
R-HSA-201556	Pathway	1
R-HSA-9931509	Pathway	1
R-HSA-1980145	Pathway	1
R-HSA-2173796	Pathway	1
R-HSA-8939243	Pathway	1
R-HSA-9833109	Pathway	1
R-HSA-8864260	Pathway	1
R-HSA-9029569	Pathway	1
R-HSA-186712	Pathway	1
R-HSA-3899300	Pathway	1
R-HSA-8941858	Pathway	1
R-HSA-9839373	Pathway	1
R-HSA-9707616	Pathway	1
R-HSA-9024446	Pathway	1
R-HSA-2122947	Pathway	1
R-HSA-9012852	Pathway	1
R-HSA-6791312	Pathway	1
R-HSA-2173793	Pathway	1
R-HSA-9616222	Pathway	1
R-HSA-5250924	Pathway	1
R-HSA-2644606	Pathway	1
R-HSA-2894862	Pathway	1
R-HSA-2644602	Pathway	1
R-HSA-2894858	Pathway	1
R-HSA-2644603	Pathway	1
R-HSA-201722	Pathway	1
R-HSA-9793380	Pathway	1
R-HSA-1234174	Pathway	1
R-HSA-9856649	Pathway	1
R-HSA-8936459	Pathway	1
R-HSA-1834949	Pathway	1
R-HSA-1912408	Pathway	1
R-HSA-9614085	Pathway	1
R-HSA-9909649	Pathway	1
R-HSA-9013694	Pathway	1
R-HSA-5250913	Pathway	1
R-HSA-1980143	Pathway	1
R-HSA-1912422	Pathway	1
R-HSA-381340	Pathway	1
R-HSA-8878159	Pathway	1
R-HSA-9759194	Pathway	1
R-HSA-9816359	Pathway	1
R-HSA-5617472	Pathway	1
R-HSA-5619507	Pathway	1
R-HSA-170834	Pathway	1
R-HSA-3371556	Pathway	1
R-HSA-3214847	Pathway	1
R-HSA-9833110	Pathway	1
R-HSA-9692914	Pathway	1
R-HSA-9843745	Pathway	1
R-HSA-9755511	Pathway	1
R-HSA-9758941	Pathway	1
R-HSA-1989781	Pathway	1
R-HSA-9018519	Pathway	1
R-HSA-400206	Pathway	1
R-HSA-9820952	Pathway	1
R-HSA-9678108	Pathway	1
R-HSA-9730414	Pathway	1
R-HSA-9006936	Pathway	1
R-HSA-5621481	Pathway	1
R-HSA-9909648	Pathway	1
R-HSA-3108232	Pathway	1
R-HSA-2990846	Pathway	1
R-HSA-201681	Pathway	1
R-HSA-389948	Pathway	1
R-HSA-69275	Pathway	1
R-HSA-8878171	Pathway	1
R-HSA-453274	Pathway	1
R-HSA-8939211	Pathway	1
R-HSA-157118	Pathway	1
R-HSA-9711123	Pathway	1
R-HSA-3247509	Pathway	1
R-HSA-388841	Pathway	1
R-HSA-4839726	Pathway	1
R-HSA-5688426	Pathway	1
R-HSA-9006931	Pathway	1
R-HSA-195721	Pathway	1
R-HSA-9679506	Pathway	1
R-HSA-69278	Pathway	1
R-HSA-1640170	Pathway	1
R-HSA-8953897	Pathway	1
R-HSA-9824446	Pathway	1
R-HSA-597592	Pathway	1
R-HSA-1251985	Pathway	1
R-HSA-1236394	Pathway	1
R-HSA-1253288	Pathway	1
R-HSA-8847993	Pathway	1
R-HSA-6785631	Pathway	1
R-HSA-1250347	Pathway	1
R-HSA-1963640	Pathway	1
R-HSA-9665686	Pathway	1
R-HSA-9620244	Pathway	1
R-HSA-9664565	Pathway	1
R-HSA-1250196	Pathway	1
R-HSA-1227990	Pathway	1
R-HSA-8863795	Pathway	1
