"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLC12A8",4.8463068126127e-09,0.123052475653812,0.136,0.126,9.05584212565187e-09
"AC018467.1",4.86265415267927e-09,0.285787668768005,0.041,0.036,9.08482441644676e-09
"LINC00863",4.90723424112668e-09,0.281882430446986,0.03,0.025,9.16653447245062e-09
"AC105942.1",4.91970519293714e-09,-0.270676518977172,0.041,0.047,9.1882480290122e-09
"AL513166.1",4.96395081086786e-09,0.11658688620317,0.377,0.368,9.26928760088232e-09
"RAD54L2",4.97073979552625e-09,0.164011709678317,0.223,0.213,9.28036777722907e-09
"SOX2",4.98326935915143e-09,-0.324073941172046,0.081,0.089,9.30215995461073e-09
"GPN3",5.05496392107262e-09,-0.111747106174519,0.029,0.035,9.43436764835896e-09
"MIER3",5.15545034548524e-09,-0.174524978126815,0.062,0.07,9.62025652602929e-09
"NBPF15",5.15717704164284e-09,0.148719838826476,0.089,0.08,9.6218239475355e-09
"NDP",5.24018624733955e-09,-0.33896646129882,0.03,0.036,9.77501477907537e-09
"ST7L",5.2491489381174e-09,0.145232076999289,0.182,0.172,9.79005072662632e-09
"ZNRF3",5.27634398743993e-09,-0.451669039744137,0.233,0.243,9.83908035877481e-09
"AL135910.1",5.29920070054978e-09,0.181207454766675,0.028,0.023,9.88000460509719e-09
"TRA2B",5.35026921260716e-09,-0.192628517600417,0.255,0.266,9.97350476309917e-09
"LINC02320",5.583672064586e-09,0.352933817948062,0.033,0.028,1.04068061787741e-08
"GEMIN7",5.60212435527463e-09,-0.262538361896079,0.025,0.03,1.04394043240744e-08
"PAK1IP1",5.62052742622897e-09,-0.150327070757233,0.061,0.068,1.0471899571087e-08
"ZNF710-AS1",5.66148805463941e-09,-0.249999819183455,0.037,0.042,1.05464046147454e-08
"PCGF6",5.66284448359523e-09,0.148618317028695,0.137,0.127,1.05471207503419e-08
"NENF",5.7292990508301e-09,-0.182388253780997,0.134,0.144,1.06690619530732e-08
"RPS6KA1",5.74774962837012e-09,0.307980577408379,0.027,0.023,1.07015839425951e-08
"EFCAB2",5.83514873260394e-09,0.100855981961738,0.237,0.226,1.08624461996029e-08
"GAU1",5.86499694528848e-09,-0.493453841972769,0.009,0.012,1.09161375391639e-08
"XPC",5.87252075361131e-09,0.13778132184061,0.114,0.105,1.0928266626211e-08
"AC011498.1",5.91945096609562e-09,0.54891401019,0.012,0.009,1.10137109796131e-08
"ZNF93",5.94386290426772e-09,0.198340108127132,0.024,0.019,1.10572357919097e-08
"LRP1",5.97232785628868e-09,-0.23418495660275,0.274,0.284,1.11082841221441e-08
"MARCH9",5.98296980529476e-09,-0.172566895879325,0.053,0.059,1.11261705839338e-08
"NR2C2AP",6.00842568178368e-09,-0.36984979220046,0.016,0.02,1.11715947691972e-08
"HLA-DRB1",6.03462058905383e-09,-0.268284608695986,0.015,0.019,1.12183772506122e-08
"ATP10D",6.06164057205735e-09,0.108174592272463,0.126,0.117,1.1266677260602e-08
"AZU1",6.09124448143401e-09,0.165398946192544,0.019,0.015,1.13197626079877e-08
"STK38",6.28418482707433e-09,0.102997372689398,0.186,0.175,1.16763167052369e-08
"YTHDC2",6.33599338758897e-09,0.108830018955869,0.353,0.343,1.17705639871131e-08
"LINC02642",6.35188669109157e-09,0.321107635075818,0.011,0.008,1.17980695797731e-08
"AC026894.1",6.37390448725735e-09,-0.148769205331822,0.012,0.015,1.18369395158702e-08
"SMARCD1",6.38930632521867e-09,-0.227972069708979,0.079,0.087,1.18635117958501e-08
"YTHDF1",6.40473071623329e-09,-0.166069535041939,0.107,0.116,1.18901168523263e-08
"METTL2B",6.43613627920544e-09,0.15327059488254,0.124,0.114,1.19463761145498e-08
"NEIL1",6.45692133722099e-09,0.138987734954109,0.153,0.143,1.19829063502967e-08
"AL442163.1",6.48799994446725e-09,0.260902393057052,0.048,0.042,1.20385238367671e-08
"NOTCH2NLC",6.56059541455188e-09,0.189656413433925,0.04,0.035,1.21711439294413e-08
"IQCC",6.61729234908236e-09,-0.485468510111028,0.011,0.014,1.22742289367338e-08
"COA1",6.63591469880218e-09,0.158412967912268,0.256,0.246,1.23066673041706e-08
"TMCC1-AS1",6.64166580514133e-09,0.176029395246774,0.048,0.042,1.23152282384806e-08
"PEX5L-AS2",6.66480722875167e-09,-0.329765682718331,0.009,0.011,1.23560265230112e-08
"AKIP1",6.6770666526521e-09,-0.103799749866817,0.057,0.064,1.23766399466908e-08
"TEC",6.71684941465776e-09,0.210343032585016,0.034,0.029,1.24482549954656e-08
"TEX10",6.7190564344146e-09,0.169982170299275,0.113,0.104,1.24502188131545e-08
"ZIC2",6.7516040364378e-09,-0.571170867847531,0.013,0.016,1.25083925899584e-08
"SLC5A4-AS1",6.79690117493172e-09,0.239674393015154,0.165,0.156,1.25901629650366e-08
"SIAH2-AS1",6.85340395211785e-09,0.148352285874491,0.031,0.026,1.26926585226883e-08
"PBX4",6.91727054166261e-09,0.104338641370637,0.072,0.065,1.28087547180172e-08
"PEX12",6.94292880454138e-09,-0.32911576137135,0.008,0.01,1.28540727619994e-08
"NEU3",7.05682948666095e-09,0.109579455157871,0.114,0.105,1.30627186557076e-08
"SULT1C4",7.05913277291035e-09,-0.541846924992771,0.008,0.011,1.30647534911906e-08
"NPIPB15",7.11580083588489e-09,0.27375682913615,0.046,0.04,1.31673865740428e-08
