"Query","HGNC_ID","Source"
"CXCR1","CXCR1","biomart"
"CXCR2","CXCR2","biomart"
"CYP11B1","CYP11B1","biomart"
"CYP11B2","CYP11B2","biomart"
"CYP17A1","CYP17A1","biomart"
"CYP19A1","CYP19A1","biomart"
"CYP1A1","CYP1A1","biomart"
"CYP1A2","CYP1A2","biomart"
"CYP1B1","CYP1B1","biomart"
"CYP24A1","CYP24A1","biomart"
"CYP26A1","CYP26A1","biomart"
"CYP26B1","CYP26B1","biomart"
"CYP27A1","CYP27A1","biomart"
"CYP2A6","CYP2A6","biomart"
"CYP2C19","CYP2C19","biomart"
"CYP2C9","CYP2C9","biomart"
"CYP2D6","CYP2D6","biomart"
"CYP3A4","CYP3A4","biomart"
"CYP51A1","CYP51A1","biomart"
"CYSLTR1","CYSLTR1","biomart"
"DAGLA","DAGLA","biomart"
"DAGLB","DAGLB","biomart"
"DAO","DAO","biomart"
"DAPK1","DAPK1","biomart"
"DAPK3","DAPK3","biomart"
"DBH","DBH","biomart"
"DDO","DDO","biomart"
"DDR1","DDR1","biomart"
"DGAT1","DGAT1","biomart"
"DHFR","DHFR","biomart"
"DHODH","DHODH","biomart"
"DLG4","DLG4","biomart"
"DNM1","DNM1","biomart"
"DNMT1","DNMT1","biomart"
"DNMT3B","DNMT3B","biomart"
"DNPEP","DNPEP","biomart"
"DPP4","DPP4","biomart"
"DPP7","DPP7","biomart"
"DPYD","DPYD","biomart"
"DRD1","DRD1","biomart"
"DRD2","DRD2","biomart"
"DRD3","DRD3","biomart"
"DRD4","DRD4","biomart"
"DRD5","DRD5","biomart"
"DSTYK","DSTYK","biomart"
"DUSP3","DUSP3","biomart"
"DUT","DUT","biomart"
"DYRK1A","DYRK1A","biomart"
"DYRK1B","DYRK1B","biomart"
"DYRK2","DYRK2","biomart"
"ECE1","ECE1","biomart"
"EDNRA","EDNRA","biomart"
"EDNRB","EDNRB","biomart"
"EGFR","EGFR","biomart"
"EGLN1","EGLN1","biomart"
"EGLN3","EGLN3","biomart"
"EIF2AK2","EIF2AK2","biomart"
"EIF2AK3","EIF2AK3","biomart"
"ELANE","ELANE","biomart"
"ENPEP","ENPEP","biomart"
"ENPP2","ENPP2","biomart"
"EP300","EP300","biomart"
"EPAS1","EPAS1","biomart"
"EPHA1","EPHA1","biomart"
"EPHA2","EPHA2","biomart"
"EPHA3","EPHA3","biomart"
"EPHA4","EPHA4","biomart"
"EPHA5","EPHA5","biomart"
"EPHA6","EPHA6","biomart"
"EPHA7","EPHA7","biomart"
"EPHA8","EPHA8","biomart"
"EPHB1","EPHB1","biomart"
"EPHB2","EPHB2","biomart"
"EPHB3","EPHB3","biomart"
"EPHB4","EPHB4","biomart"
"EPHX1","EPHX1","biomart"
"EPHX2","EPHX2","biomart"
"ERAP2","ERAP2","biomart"
"ERBB2","ERBB2","biomart"
"ERBB4","ERBB4","biomart"
"ERCC5","ERCC5","biomart"
"ERN1","ERN1","biomart"
"ESR1","ESR1","biomart"
"ESR2","ESR2","biomart"
"ESRRA","ESRRA","biomart"
"ESRRB","ESRRB","biomart"
"ESRRG","ESRRG","biomart"
"EZR","EZR","biomart"
"F10","F10","biomart"
"F12","F12","biomart"
"F13A1","F13A1","biomart"
"F2","F2","biomart"
"F2R","F2R","biomart"
"F2RL1","F2RL1","biomart"
"F3","F3","biomart"
"F7","F7","biomart"
"F9","F9","biomart"
"FAAH","FAAH","biomart"
"FABP1","FABP1","biomart"
"FABP2","FABP2","biomart"
"FABP3","FABP3","biomart"
"FABP4","FABP4","biomart"
"FABP5","FABP5","biomart"
"FADS1","FADS1","biomart"
"FAP","FAP","biomart"
"FARS2","FARS2","biomart"
"FASN","FASN","biomart"
"FBP1","FBP1","biomart"
"FCER2","FCER2","biomart"
"FDFT1","FDFT1","biomart"
"FEN1","FEN1","biomart"
"FFAR1","FFAR1","biomart"
"FFAR2","FFAR2","biomart"
"FFAR4","FFAR4","biomart"
"FGF1","FGF1","biomart"
"FGF2","FGF2","biomart"
"FGFR1","FGFR1","biomart"
"FGFR3","FGFR3","biomart"
"FGR","FGR","biomart"
"FKBP1A","FKBP1A","biomart"
"FKBP4","FKBP4","biomart"
"FKBP5","FKBP5","biomart"
"FLT1","FLT1","biomart"
"FLT3","FLT3","biomart"
"FLT4","FLT4","biomart"
"FOLH1","FOLH1","biomart"
"FOLR1","FOLR1","biomart"
"FOLR2","FOLR2","biomart"
"FPGS","FPGS","biomart"
"FPR1","FPR1","biomart"
"FPR2","FPR2","biomart"
"FRK","FRK","biomart"
"FTO","FTO","biomart"
"FUCA1","FUCA1","biomart"
"FURIN","FURIN","biomart"
