"","x"
"1032","TTK"
"1033","TTL"
"1034","TTR"
"1035","TUBB1"
"1036","TUBB3"
"1037","TXK"
"1038","TYK2"
"1039","TYMP"
"1040","TYMS"
"1041","TYR"
"1042","TYRO3"
"1043","UGCG"
"1044","UGT2B7"
"1045","UPP1"
"1046","UTS2R"
"1047","VCP"
"1048","VDR"
"1049","VEGFA"
"1050","VHL"
"1051","WEE1"
"1052","XDH"
"1053","XIAP"
"1054","XPNPEP1"
"1055","XPNPEP2"
"1056","YES1"
"1057","YWHAG"
