"","x"
"939","CHEMBL5555"
"940","CHEMBL5101"
"941","CHEMBL1075115"
"942","CHEMBL1795168"
"943","CHEMBL4478"
"944","CHEMBL6114"
"945","CHEMBL2634"
"946","CHEMBL3461"
"947","CHEMBL252"
"948","CHEMBL5652"
"949","CHEMBL4835"
"950","CHEMBL329"
"951","CHEMBL2337"
"952","CHEMBL5620"
"953","CHEMBL2000"
"954","CHEMBL3473"
"955","CHEMBL2318"
"956","CHEMBL4698"
"957","CHEMBL3403"
"958","CHEMBL4429"
"959","CHEMBL1075214"
"960","CHEMBL1790"
"961","CHEMBL4633"
"962","CHEMBL3024"
"963","CHEMBL4162"
"964","CHEMBL2428"
"965","CHEMBL1615387"
"966","CHEMBL4281"
"967","CHEMBL2424504"
"968","CHEMBL4096"
"969","CHEMBL1075149"
"970","CHEMBL2530"
"971","CHEMBL1743126"
"972","CHEMBL1743127"
"973","CHEMBL3983"
"974","CHEMBL1944495"
"975","CHEMBL232"
"976","CHEMBL3860"
"977","CHEMBL1921664"
"978","CHEMBL2413"
"979","CHEMBL6101"
"980","CHEMBL3094"
"981","CHEMBL2346488"
"982","CHEMBL3917"
"983","CHEMBL3918"
"984","CHEMBL5689"
"985","CHEMBL4552"
"986","CHEMBL3859"
"987","CHEMBL1293274"
"988","CHEMBL2104"
"989","CHEMBL5162"
"990","CHEMBL2977"
"991","CHEMBL4042"
"992","CHEMBL3359"
"993","CHEMBL3923"
"994","CHEMBL4761"
"995","CHEMBL1800"
"996","CHEMBL4884"
"997","CHEMBL3858"
"998","CHEMBL1075158"
"999","CHEMBL4038"
"1000","CHEMBL2676"
"1001","CHEMBL3638356"
"1002","CHEMBL3684"
"1003","CHEMBL1803"
"1004","CHEMBL263"
"1005","CHEMBL2157"
"1006","CHEMBL300"
"1007","CHEMBL343"
"1008","CHEMBL1075317"
"1009","CHEMBL1798"
"1010","CHEMBL3997"
"1011","CHEMBL4589"
"1012","CHEMBL3735"
"1013","CHEMBL4592"
"1014","CHEMBL3426"
"1015","CHEMBL3000"
"1016","CHEMBL3021"
"1017","CHEMBL5951"
"1018","CHEMBL5952"
"1019","CHEMBL2321613"
"1020","CHEMBL4970"
"1021","CHEMBL3422"
"1022","CHEMBL1980"
"1023","CHEMBL3871"
"1024","CHEMBL4237"
"1025",NA
