"gene","log2FoldChange","baseMean","t","pvalue","padj","B"
"ENSG00000248713",-0.805661397247446,1.70364466849948,-3.23143408900978,0.0019755480206444,0.767519057441701,-2.13465111943614
"ENSG00000138160",0.299919661999513,1.65399051000438,3.22880393546437,0.00199113224335783,0.767519057441701,-2.15258689426662
"ENSG00000176584",-1.18893983587388,-0.735548925808204,-3.2266182565662,0.00200417070514856,0.767519057441701,-3.16092666294501
"ENSG00000254579",-0.508447057882768,0.817171491954948,-3.2056103932908,0.00213364938824821,0.767519057441701,-2.48552734325761
"ENSG00000168939",-0.258323307426539,3.47980797466575,-3.20117125704569,0.00216199652776046,0.767519057441701,-1.72151248075434
"ENSG00000249717",-0.548300757276305,1.4109665064079,-3.19459931605195,0.00220461314312633,0.767519057441701,-2.28665877728974
"ENSG00000259831",-0.835270698939344,-1.24106141690433,-3.19046998433744,0.00223179240127374,0.767519057441701,-3.3799379348614
"ENSG00000100344",-0.368491753023691,1.85531233673897,-3.18961539790973,0.00223745642540411,0.767519057441701,-2.14970364171483
"ENSG00000232926",0.605656356663075,-0.770311127171762,3.18927344844034,0.00223972657333697,0.767519057441701,-3.19973478327884
"ENSG00000121797",-0.858068563895522,-1.30478942007414,-3.18662583341683,0.00225737696918919,0.767519057441701,-3.40716827588671
"ENSG00000155085",0.187886682787932,4.30783322921458,3.17235386647673,0.00235479092220909,0.767519057441701,-1.6791215417789
"ENSG00000254087",-0.5339173041946,2.81307110072985,-3.16917446606421,0.00237702252587428,0.767519057441701,-1.92411041357453
"ENSG00000164627",0.534005932104405,3.13852407008451,3.16670944984611,0.00239439416045351,0.767519057441701,-1.86077111089386
"ENSG00000112773",-0.558008946652433,2.04627099658587,-3.14801731465997,0.00253004818834608,0.767519057441701,-2.16430442173525
"ENSG00000136158",-0.231365061215592,5.32990623123504,-3.13966317811318,0.00259297593161883,0.767519057441701,-1.7105081350779
"ENSG00000246763",-0.468194270815348,0.683022498708499,-3.13702730638977,0.00261313294646929,0.767519057441701,-2.63007636863856
"ENSG00000137960",-0.452467597265764,0.199287251844049,-3.13671737451352,0.0026155126714258,0.767519057441701,-2.82841407700936
"ENSG00000224700",-0.425304281235397,0.969660122715985,-3.13441642263799,0.00263324344170823,0.767519057441701,-2.52625810092114
"ENSG00000171853",0.186842000574959,5.54256573948871,3.12834526246345,0.00268056851713504,0.767519057441701,-1.73510367025826
"ENSG00000198535",-0.769309097005888,-1.32257856866831,-3.12199745336968,0.0027309006485794,0.767519057441701,-3.45978581539512
"ENSG00000104112",-0.288286824793665,7.61879270109919,-3.11731287374386,0.00276861059284431,0.767519057441701,-1.82397471063321
"ENSG00000115008",-1.10404239115301,-1.38521261977629,-3.11548170101331,0.0027834831706621,0.767519057441701,-3.4949124278087
"ENSG00000188566",0.324651442923931,3.17205976882094,3.11184231185356,0.00281326401034527,0.767519057441701,-1.95757903188224
"ENSG00000162772",-0.968361005739169,2.05010062491751,-3.10916406155973,0.00283536999290545,0.767519057441701,-2.23538699345792
"ENSG00000117480",0.200980664420592,4.49292700853652,3.09976486658324,0.00291424189743857,0.767519057441701,-1.82101960410386
"ENSG00000103184",0.285213292475591,6.19940373207262,3.09759022243628,0.00293277996045965,0.767519057441701,-1.81275150100918
"ENSG00000224818",0.731091402866446,-0.311884907225877,3.09725613559724,0.00293563767968324,0.767519057441701,-3.10340103792678
"ENSG00000112715",-0.432582437179999,5.16150471547448,-3.08835180123948,0.00301276968193481,0.767519057441701,-1.82349168100701
"ENSG00000106025",-0.455169111564181,2.24474447299906,-3.08350852741681,0.00305551456217564,0.767519057441701,-2.2194814108496
