"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CDK2AP1",2.1241349432203e-30,-0.189941442595324,0.061,0.076,3.36334845339247e-25
"RUVBL2",2.20002440132031e-30,-0.281863651696344,0.061,0.076,3.48199766581324e-25
"TOR1A",2.24106178183876e-30,-0.244826138942292,0.045,0.057,3.54540707180716e-25
"ARHGEF37",2.35513078124311e-30,0.336735036870754,0.072,0.058,3.72424880628816e-25
"RNF213-AS1",2.4038941536997e-30,0.263218369111781,0.179,0.159,3.79971009812838e-25
"ENOPH1",2.41938938541195e-30,-0.152986459117262,0.124,0.143,3.82254351257582e-25
"AC090015.1",2.45921119641254e-30,0.187956503314107,0.087,0.071,3.8837755292023e-25
"HPS6",2.49989849748734e-30,-0.425923842659429,0.01,0.016,3.94632071819177e-25
"CCNG2",2.53346518360093e-30,-0.166877917012054,0.12,0.139,3.99757603031563e-25
"NUTF2",2.57671583126737e-30,-0.306212245689974,0.068,0.083,4.0640607329854e-25
"ZBED5",2.58225039045161e-30,0.230113213722739,0.181,0.16,4.07102686577775e-25
"PIP4K2C",2.63345764258956e-30,-0.205918277281317,0.132,0.152,4.14996074297624e-25
"PRKAG2",2.78430550391178e-30,0.226528756441488,0.359,0.342,4.38577808048503e-25
"NPEPL1",2.8218402709967e-30,0.230179843521869,0.142,0.123,4.44298033313445e-25
"MAML2",2.86412234859111e-30,-0.350240425182729,0.235,0.254,4.50760454378702e-25
"SLC4A3",3.28273353955103e-30,-0.250983343127197,0.127,0.147,5.16419025159145e-25
"CERS1",3.30497994007083e-30,-0.410832285984967,0.096,0.113,5.19694199248566e-25
"DNPH1",3.32450837886479e-30,-0.28292553447569,0.046,0.059,5.22539342660576e-25
"PRRT3",3.71048825521097e-30,-0.232316274393068,0.083,0.099,5.82955261181583e-25
"PDIA4",3.77162811599763e-30,-0.403658675452932,0.036,0.047,5.92305427804528e-25
"F11-AS1",3.83880404585275e-30,-0.621974626711061,0.051,0.064,6.02595043960931e-25
"UBXN1",3.89343325644767e-30,-0.21150265258983,0.064,0.079,6.10907124879743e-25
"FAM71E1",4.04449519689717e-30,-0.610174301025427,0.014,0.021,6.3433650515028e-25
"ZNF579",4.21930783965484e-30,-0.459054605183735,0.026,0.036,6.61469157904431e-25
"GIPC2",4.28187646103226e-30,-0.104729598093362,0.169,0.191,6.70989317257669e-25
"TAF9",4.41839999824231e-30,-0.16357636842526,0.067,0.082,6.92085370916422e-25
"INTS1",4.49469656970975e-30,-0.268360463951584,0.191,0.213,7.03733563656048e-25
"GARNL3",4.53232484545917e-30,0.145340954705293,0.4,0.379,7.09320061028481e-25
"TRMT10C",4.58692374479422e-30,-0.261918727698196,0.054,0.068,7.1755656274782e-25
"PPP4C",4.68610658913364e-30,-0.290573581193269,0.077,0.093,7.32757497422587e-25
"WDR20",4.91351907390251e-30,0.179778592705739,0.268,0.246,7.67987801371197e-25
"CRYBG3",4.95255170152414e-30,0.25782684367745,0.125,0.107,7.73756554603737e-25
"UBE2QL1",5.09949449253902e-30,-0.116937127361274,0.19,0.212,7.96372358428349e-25
"ARMCX1",5.70075091100386e-30,-0.233747767392405,0.062,0.076,8.89887124353638e-25
"CAMK1",5.71229782313219e-30,-0.221888725662661,0.137,0.157,8.91307553619595e-25
"ZNF385A",5.77292479066597e-30,-0.471876209264171,0.052,0.065,9.0038159986973e-25
