"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FAM120B",0.000840678088778992,0.124374294678312,0.186,0.165,0.00112568765123126
"R3HCC1L",0.000842367520494991,0.207192062347147,0.102,0.086,0.00112750224072603
"FBXL15",0.00084434720118346,-0.190354241443702,0.098,0.11,0.00112970373248386
"LAMC1",0.000849845588279729,0.239119507741897,0.123,0.103,0.00113642965921816
"TMEM150C",0.00085004803741696,0.134925463848464,0.131,0.116,0.00113642965921816
"RNGTT",0.000860612215641445,0.128282475793229,0.177,0.157,0.00115009706947646
"TPM1",0.000867880591427314,0.127067220419405,0.148,0.134,0.00115935098411261
"ATF6",0.000870687326474757,0.151906554773805,0.159,0.14,0.00116263988606467
"RPH3A",0.000874935024363173,-0.178833221845328,0.259,0.27,0.00116784955962682
"CARM1",0.000902207062590118,-0.220084619833101,0.09,0.101,0.00120377548343215
"ACVR2A",0.00090748195945806,0.146405012168106,0.2,0.179,0.00121033477629578
"TEF",0.000935227402197343,-0.228092447076569,0.096,0.106,0.0012468466512299
"AC008067.2",0.000939912953613583,0.16159036496252,0.104,0.09,0.00125259833762885
"LRRC6",0.000941259935683067,0.279459214036637,0.135,0.11,0.0012538980106868
"CHCHD6",0.00096048397080212,0.187717164444062,0.11,0.096,0.00127900214509102
"ZC3H14",0.000966303459060385,0.1550856433548,0.194,0.171,0.00128624371247462
"DCAF8",0.000975571007412614,-0.191904500889022,0.101,0.111,0.00129789070611394
"PIKFYVE",0.000975822956034674,0.107170272542494,0.161,0.145,0.00129789070611394
"TFG",0.000980566913225419,0.172270615593423,0.106,0.091,0.00130345918897335
"SRSF6",0.000980782514561029,0.14234511669924,0.152,0.133,0.00130345918897335
"HK1",0.000992345675336328,-0.162346089910158,0.159,0.172,0.0013183071929537
"TTC21B",0.000996884651568751,0.18429171109169,0.17,0.149,0.00132381572037063
"GIGYF2",0.000997676570883936,0.133444830376735,0.201,0.179,0.00132434595576211
"SLC24A3",0.00102550984225503,0.165774414305571,0.14,0.124,0.00136075715890095
"ATRN",0.00103006066127855,0.111703618000276,0.203,0.183,0.00136574211989492
"FLNA",0.00103038929596821,0.226565514153844,0.103,0.085,0.00136574211989492
"ESYT2",0.0010305742603416,0.122830403429517,0.235,0.208,0.00136574211989492
"ACTN4",0.00103088628439148,-0.261835155585279,0.176,0.196,0.00136574211989492
"KCNJ9",0.00103199350231339,-0.102348099652519,0.115,0.127,0.00136667219603576
"ADRBK2",0.00104010950964972,0.122461124909003,0.253,0.227,0.00137687966092956
"NARF",0.00104290751810734,-0.203029045049327,0.126,0.139,0.001380042000226
"MFSD14C",0.00105185505955785,0.226129487823212,0.127,0.108,0.00139133612387789
"SLC4A8",0.0010692749667495,0.118400977480327,0.245,0.219,0.00141382378002589
"GUK1",0.00107082931238966,0.135175650501976,0.312,0.3,0.00141532416563101
"INO80D",0.00107187801892772,-0.212032006861509,0.147,0.16,0.00141615533013834
"DYRK1A",0.0010729335606638,0.123851335067323,0.234,0.21,0.00141699487083751
"UBE2Z",0.00107803863435538,-0.173060911577209,0.109,0.119,0.00142317977052082
"C16orf72",0.00110431611191926,-0.175976827818471,0.117,0.132,0.0014572997830609
"CLOCK",0.0011138005346657,0.129435945333225,0.216,0.194,0.00146924098687032
"CTC-535M15.2",0.00112547487747582,0.241332977814243,0.144,0.128,0.00148406050106566
"SPCS1",0.00113997845774827,-0.199976162064182,0.118,0.132,0.00150259763110001
"PDE3B",0.00114441866450597,0.140817066282898,0.19,0.17,0.00150786099819478
"WASF3",0.00114575419770101,-0.165517280650478,0.142,0.153,0.00150903120220441
